target;protectedtarget;numGens;monoDeprotected;diProtected;total#ofBuilings;blockAboveLimits
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1;2;COc1cc2ncnc(B(O)O)c2cc1OCCCN1CCOCC1.[1CH3]c1cc(N)ccc1F.COc1cc2ncnc(N)c2cc1OCCCN1CCOCC1.[1CH3]c1cc(Br)ccc1F.[1CH3]c1cc(B(O)O)ccc1F.COc1cc2ncnc(Br)c2cc1OCCCN1CCOCC1;COc1cc2ncnc(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)c2cc1Br;7;0
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1;Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1;3;CC(C)(C)NS(=O)(=O)c1cccc(B(O)O)c1.CC(C)(C)NS(=O)(=O)c1cccc(Br)c1.Nc1ccc(OCCN2CCCC2)cc1.CC(C)(C)NS(=O)(=O)c1cccc(N)c1.OB(O)c1ccc(OCCN2CCCC2)cc1.Brc1ccc(OCCN2CCCC2)cc1.CC(C)(C)N;Cc1cnc(Br)nc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C.Cc1cnc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)nc1Br;10;0
CC[C@H](Nc1ncnc2[1nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1;CC[C@H](Nc1ncnc2c1nc[1n]2C(=O)OC(C)(C)C)c1nc2cccc(F)c2c(=O)n1-c1ccccc1;2;CC(C)(C)OC(=O)[1n]1cnc2c(B(O)O)ncnc21.CC[C@H](N)c1nc2cccc(F)c2c(=O)n1-c1ccccc1.CC(C)(C)OC(=O)[1n]1cnc2c(Br)ncnc21;;3;0
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC;COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC;3;COc1cc(B(O)O)cc(OC)c1OC.CC1(C)Oc2ccc(N)nc2NC1=O.CC1(C)Oc2ccc(Br)nc2NC1=O.COc1cc(N)cc(OC)c1OC.COc1cc(Br)cc(OC)c1OC.CC1(C)Oc2ccc(B(O)O)nc2NC1=O;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc(F)c(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nc(Br)ncc3F)cc2)OC(=O)C1(C)C;8;0
N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1;2;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)O)c1.NC1CC(F)(F)C1;;2;1
O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1;O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1;3;Fc1ccc(F)c([C@H]2CCCN2)c1.O[C@H]1CCNC1;;2;0
CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1;CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1;4;CN1CCN(C2CCNCC2)CC1.NC1CCOCC1;COc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)ccc1Br.CCc1nc(-c2ncco2)c(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)nc1Br;4;0
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O;COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O;3;COc1cc2nccc(B(O)O)c2cc1-c1ncco1.COc1cc2nccc(Br)c2cc1-c1ncco1.NC1CC1.O=C=NC1CC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3[1CH3])cc2)OC(=O)C1(C)C;5;0
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4;CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4;2;O=C(O)c1ccccc1;;1;0
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1;CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1;4;CCC(=O)O.COc1ncc(Br)cc1C(F)(F)F.COc1ncc(B(O)O)cc1C(F)(F)F;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCc4ncnc(Br)c4C3)cc2)OC(=O)C1(C)C;4;0
CS(=O)(=O)CC[1NH]Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1;CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1;3;[1CH3]c1cc(N)ccc1OCc1cccc(F)c1.CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(B(O)O)o1.[1CH3]c1cc(B(O)O)ccc1OCc1cccc(F)c1.[1CH3]c1cc(Br)ccc1OCc1cccc(F)c1.CC(C)(C)OC(=O)[1N](CCS(C)(=O)=O)Cc1ccc(Br)o1;CN1C(C)(C)C(=O)OB(c2ncnc3ccc(Br)cc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)c([1CH3])c3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncnc4ccc(Br)cc34)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc3ncnc(Br)c3c2)OC(=O)C1(C)C;9;0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c([1NH2])ncnc32)C1;C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c([1NH]C(=O)OC(C)(C)C)ncnc32)C1;4;C=CC(=O)O.OB(O)c1ccccc1.Oc1ccccc1.Brc1ccccc1;CN1C(C)(C)C(=O)OB(c2ccc(Br)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCC[C@@H](n4nc(Br)c5c([1NH]C(=O)OC(C)(C)C)ncnc54)C3)cc2)OC(=O)C1(C)C;6;0
C[C@H]1Oc2cc(cnc2[1NH2])-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21;C[C@H]1Oc2cc(cnc2[1NH]C(=O)OC(C)(C)C)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21;3;;C[C@@H](Oc1cc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cnc1[1NH]C(=O)OC(C)(C)C)c1cc(F)ccc1C(=O)O.CN1C(C)(C)C(=O)OB(c2cc(Br)cnc2[1NH]C(=O)OC(C)(C)C)OC(=O)C1(C)C.CN(Cc1nn(C)c(C#N)c1Br)C(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2cnc([1NH]C(=O)OC(C)(C)C)c(Br)c2)OC(=O)C1(C)C;4;0
Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH2])C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1;Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH]C(=O)OC(C)(C)C)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1;2;Cc1ccc(C(=O)OCc2ccc(Br)cc2)c(C)c1.Cc1ccc(C(=O)OCc2ccc([C@@H](C[1NH]C(=O)OC(C)(C)C)C(=O)O)cc2)c(C)c1.Cc1ccc(C(=O)NCc2ccc(B(O)O)cc2)c(C)c1.Nc1ccc2cnccc2c1.Cc1ccc(C(=O)O)c(C)c1.OCc1ccc(Br)cc1.CC(C)(C)OC(=O)[1NH]C[C@@H](C(=O)O)c1ccc(CO)cc1.OCc1ccc(B(O)O)cc1;;8;0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1;4;OB(O)c1cccnc1.CN1CCN(Cc2ccc(C(=O)O)cc2)CC1.Brc1cccnc1;CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C.Cc1ccc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)cc1Br.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C;6;0
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1;COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1;3;CN1CCN(CC(=O)O)CC1;;1;1
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C;CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C;3;[1CH3]c1cc(N)ccc1OCc1ccccn1.[1CH3]c1cc(Br)ccc1OCc1ccccn1.CN(C)C/C=C/C(=O)O.[1CH3]c1cc(B(O)O)ccc1OCc1ccccn1;CCOc1cc2ncc(C#N)c(Br)c2cc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)c([1CH3])c3)cc2)OC(=O)C1(C)C;6;0
CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[1nH]c(CN4CCOCC4)cc3c21;CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3c(cc(CN4CCOCC4)[1n]3C(=O)OC(C)(C)C)c21;1;;;0;0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O;Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O;2;Cc1c2ccc(Br)cc2nn1C.Cc1c2ccc(N(C)c3ccnc(Br)n3)cc2nn1C.Cc1ccc(N)cc1S(N)(=O)=O.Cc1c2ccc(B(O)O)cc2nn1C.Cc1ccc(B(O)O)cc1S(N)(=O)=O.Cc1ccc(Br)cc1S(N)(=O)=O.Cc1c2ccc(N(C)c3ccnc(N)n3)cc2nn1C;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C;8;0
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CC[1NH]CC4)cn3)nc2n(C2CCCC2)c1=O;CC(=O)c1c(C)c2cnc(Nc3ccc(N4CC[1N](C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O;3;CC(=O)c1c(C)c2cnc(Br)nc2n(C2CCCC2)c1=O.CC(=O)c1c(C)c2cnc(N)nc2n(C2CCCC2)c1=O.CC(C)(C)OC(=O)[1N]1CCNCC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cn3)cc2)OC(=O)C1(C)C;4;0
FC(F)(F)c1ccc(CNc2ccc(Cc3c[1nH]c4ncc(Cl)cc34)cn2)cn1;CC(C)(C)OC(=O)[1n]1cc(Cc2ccc(NCc3ccc(C(F)(F)F)nc3)nc2)c2cc(Cl)cnc21;2;CC(C)(C)OC(=O)[1n]1cc(Cc2ccc(Br)nc2)c2cc([1CH3])cnc21.NCc1ccc(C(F)(F)F)nc1.CC(C)(C)OC(=O)[1n]1cc(Cc2ccc(B(O)O)nc2)c2cc([1CH3])cnc21.CC(C)(C)OC(=O)[1n]1cc(Br)c2cc([1CH3])cnc21.CC(C)(C)OC(=O)[1n]1cc(B(O)O)c2cc([1CH3])cnc21;CN1C(C)(C)C(=O)OB(c2ccc(Br)nc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(Br)cn2)OC(=O)C1(C)C;7;0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1;3;;CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C;2;0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12;Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12;2;CN1CCN(Cc2ccc(N)cc2C(F)(F)F)CC1.Cc1ccc(C(=O)O)cc1C#Cc1cnc2cccnn12.OB(O)c1cnc2cccnn12.Brc1cnc2cccnn12;;4;0
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c([1NH2])c2C(N)=O)cc1;COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c([1NH]C(=O)OC(C)(C)C)c2C(N)=O)cc1;3;C[C@H](n1nc(B(O)O)c(-c2ncco2)c1[1NH]C(=O)OC(C)(C)C)C(F)(F)F.C[C@H](n1nc(Br)c(-c2ncco2)c1[1NH]C(=O)OC(C)(C)C)C(F)(F)F.COc1ccc(F)cc1C(=O)O;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)NCc3ccc(Br)cc3)cc2)OC(=O)C1(C)C;4;0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1;CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1;3;CNC(=O)c1cc(B(O)O)ccn1.CNC(=O)c1cc(Br)ccn1.[1CH3]c1ccc(N)cc1C(F)(F)F.[1CH3]c1ccc(N=C=O)cc1C(F)(F)F;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3F)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccnc(C(=O)O)c2)OC(=O)C1(C)C;6;0
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1;CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1;3;CC(C)(C)c1cc(N)no1.OB(O)c1cn2c(n1)sc1cc(OCCN3CCOCC3)ccc12.Brc1cn2c(n1)sc1cc(OCCN3CCOCC3)ccc12.CC(C)(C)c1cc(N=C=O)no1;CN1C(C)(C)C(=O)OB(c2cn3c(n2)sc2cc(Br)ccc23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc3c(c2)sc2nc(Br)cn23)OC(=O)C1(C)C;7;0
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C;4;;CN1C(C)(C)C(=O)OB(/C=C/Br)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)N3CCCC[C@H]3C(=O)O)cc2)OC(=O)C1(C)C.CO[C@@H](C[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)O)O1)/C(C)=C/C=C\B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1;5;4
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC[1NH]CC4)cn3)nc2n1C1CCCC1;CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC[1N](C(=O)OC(C)(C)C)CC4)cn3)nc2n1C1CCCC1;3;CN(C)C(=O)c1cc2cnc(N)nc2n1C1CCCC1.CN(C)C(=O)c1cc2cnc(Br)nc2n1C1CCCC1.CC(C)(C)OC(=O)[1N]1CCNCC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cn3)cc2)OC(=O)C1(C)C;4;0
CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[1nH]n3)n2)CC1;CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[1n](C(=O)OC(C)(C)C)n3)n2)CC1;4;Fc1cn[nH]c1.Cc1cc(Br)n[1n]1C(=O)OC(C)(C)C.Cc1cc(N)n[1n]1C(=O)OC(C)(C)C.Cc1cc(B(O)O)n[1n]1C(=O)OC(C)(C)C;C[C@H](NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1)c1ccc(Br)nc1.CO[C@]1(C(=O)O)CC[C@H](c2nc(C)cc(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)n2)CC1.Cc1cc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)nc(Br)n1;7;0
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[1nH]ccc23)cn1;CC(C)(C)OC(=O)[1n]1ccc2c(-c3cnn([C@H](CC#N)C4CCCC4)c3)ncnc21;2;N#CC[C@H](C1CCCC1)n1cc(Br)cn1.CC(C)(C)OC(=O)[1n]1ccc2c(B(O)O)ncnc21.CC(C)(C)OC(=O)[1n]1ccc2c(Br)ncnc21.N#CC[C@H](C1CCCC1)n1cc(B(O)O)cn1;;4;0
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1;Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1;5;OB(O)c1cccnc1.Brc1cccnc1.Cc1c[nH]cn1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C.Cc1ccc(C(=O)O)cc1NC(=O)OCc1ccc(B2OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O2)cc1.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3cc(Br)cc(C(F)(F)F)c3)cc2)OC(=O)C1(C)C;7;0
C=CC(=O)N1C[C@H](Nc2ncnc3[1nH]ccc23)CC[C@@H]1C;C=CC(=O)N1C[C@H](Nc2ncnc3c2cc[1n]3C(=O)OC(C)(C)C)CC[C@@H]1C;3;C=CC(=O)O.CC(C)(C)OC(=O)[1n]1ccc2c(B(O)O)ncnc21.CC(C)(C)OC(=O)[1n]1ccc2c(Br)ncnc21;;3;0
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;5;C=CC(=O)O.CNCCN(C)C.Cn1cc(Br)c2ccccc21.Cn1cc(B(O)O)c2ccccc21;CC(C)NC(=O)c1cnc(Br)nc1B1OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O1.CC(C)NC(=O)c1cnc(NC(=O)OCc2ccc(B3OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O3)cc2)nc1Br;6;0
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21;CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2[At])cc2cnc(N(C)C(=O)OC(C)(C)C)cc21;3;CCn1c(=O)c(B(O)O)cc2cnc(N(C)C(=O)OC(C)(C)C)cc21.O=C=Nc1ccccc1.Nc1ccccc1.CCn1c(=O)c(Br)cc2cnc(N(C)C(=O)OC(C)(C)C)cc21;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3cc(Br)c([4CH3])cc3F)cc2)OC(=O)C1(C)C;5;0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21;Cn1cnc2c(F)c(Nc3ccc([At])cc3Cl)c(C(=O)NOCCO)cc21;3;[1CH3]c1cc([4CH3])ccc1B(O)O.[1CH3]c1cc([4CH3])ccc1N.[1CH3]c1cc([4CH3])ccc1Br.NOCCO;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3c(C(=O)O)cc4c(ncn4C)c3F)cc2)OC(=O)C1(C)C;5;0
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;5;C=CC(=O)O.CNCCN(C)C.Cn1cc(Br)c2ccccc21.Cn1cc(B(O)O)c2ccccc21;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3nccc(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccnc(Br)n2)OC(=O)C1(C)C;6;0
COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1;COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1;3;CC(C)(O)COc1cc(Br)c2c(C#N)cnn2c1.CC(C)(O)COc1cc(B(O)O)c2c(C#N)cnn2c1.COc1ccc(CN2C3CNCC2C3)cn1;CN1C(C)(C)C(=O)OB(c2ccc(Br)nc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cc(Br)cn3ncc(C#N)c23)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2cc(Br)c3c(C#N)cnn3c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(Br)cn2)OC(=O)C1(C)C;7;0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1;CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1;3;CNC(=O)c1cc(B(O)O)ccn1.CNC(=O)c1cc(Br)ccn1.[1CH3]c1ccc(N)cc1C(F)(F)F.[1CH3]c1ccc(N=C=O)cc1C(F)(F)F;CN1C(C)(C)C(=O)OB(c2ccnc(C(=O)O)c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C;6;0
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[1nH]ccc12;C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2c1cc[1n]2C(=O)OC(C)(C)C;3;N#CCC(=O)O.CC(C)(C)OC(=O)[1n]1ccc2c(Br)ncnc21.CC(C)(C)OC(=O)[1n]1ccc2c(B(O)O)ncnc21;;3;0
O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1;O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1;3;OB(O)c1ccc(OCCN2CCOCC2)cc1.NCc1ccccc1.Brc1ccc(OCCN2CCOCC2)cc1;CN1C(C)(C)C(=O)OB(c2ccc(Br)nc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(CC(=O)O)nc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(Br)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(Br)cn2)OC(=O)C1(C)C;7;0
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC;COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC;3;COc1cc2nccc(B(O)O)c2cc1OC.Cc1cc(N=C=O)no1.Cc1cc(N)no1.COc1cc2nccc(Br)c2cc1OC;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3[1CH3])cc2)OC(=O)C1(C)C;5;0
CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1;CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1;3;N#Cc1cccc(B(O)O)c1.N#Cc1cccc(Br)c1.CN1CCC(COc2cnc(Br)nc2)CC1;CN1C(C)(C)C(=O)OB(c2cccc(Cn3nc(Br)ccc3=O)c2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccc(=O)n(Cc3cccc(Br)c3)n2)OC(=O)C1(C)C;5;0
